avg_load,max_load,proc_cpu,mem_used_pct,procs_running,procs_blocked,loadavg1,loadavg5,loadavg15,psi_cpu_some,psi_cpu_full,proc_vms_kb,proc_rss_kb,proc_threads,proc_read_bytes,proc_write_bytes,boost_level
24,89,526.0,17.70879948434656,8,1,0.74,0.77,0.41,0.18,0.0,11959440,1137968.0,108.0,0.0,180224.0,3
25,98,610.0,18.920729757384457,6,1,2.36,1.1,0.52,0.18,0.0,13793076,1371932.0,160.0,0.0,200704.0,3
67,91,630.0,19.11028328511555,13,1,2.36,1.1,0.52,0.18,0.0,13749416,1422868.0,164.0,0.0,245760.0,3
47,82,631.0,20.60840221766901,6,1,2.36,1.1,0.52,0.69,0.0,13771564,1662276.0,179.0,0.0,348160.0,3
0,4,40.0,13.581152307843514,2,0,2.36,1.1,0.52,0.56,0.0,3728332,51584.0,7.0,0.0,0.0,1
31,59,583.0,15.087827216184811,14,0,2.36,1.1,0.52,0.56,0.0,9825432,616000.0,80.0,0.0,106496.0,3
49,95,633.0,17.08760570870669,4,1,3.05,1.27,0.58,0.46,0.0,11168360,930728.0,97.0,0.0,122880.0,3
32,71,584.0,17.561876168339698,4,0,3.05,1.27,0.58,0.46,0.0,11415984,1048536.0,100.0,0.0,126976.0,3
24,93,538.0,17.945473240250298,2,1,3.05,1.27,0.58,0.46,0.0,11423232,1115560.0,100.0,0.0,139264.0,3
27,97,535.0,18.71493733683155,6,0,3.05,1.27,0.58,0.46,0.0,12529868,1292964.0,109.0,0.0,212992.0,3
78,91,648.0,19.355986962987792,12,1,3.05,1.27,0.58,0.74,0.0,13776448,1402824.0,158.0,0.0,233472.0,3
45,97,650.0,20.794962401101145,10,0,3.05,1.27,0.58,0.74,0.0,13783072,1630100.0,164.0,0.0,331776.0,3
36,99,626.0,21.70456489994497,1,0,3.05,1.27,0.58,0.74,0.0,13784240,1797524.0,157.0,0.0,3584000.0,3
0,5,342.0,14.477334646413698,10,0,2.81,1.25,0.58,1.23,0.0,7078648,270448.0,48.0,0.0,20480.0,3
37,66,669.0,16.069943480670723,14,0,2.81,1.25,0.58,1.23,0.0,10081844,763432.0,83.0,0.0,110592.0,3
41,80,643.0,17.388860867860313,6,1,2.81,1.25,0.58,1.23,0.0,11083668,1009548.0,95.0,0.0,126976.0,3
43,99,597.0,17.86018787226602,4,0,2.81,1.25,0.58,1.23,0.0,11416832,1087344.0,100.0,0.0,126976.0,3
17,98,535.0,18.15071688101506,4,0,2.81,1.25,0.58,1.19,0.0,11524392,1129632.0,100.0,0.0,151552.0,3
34,97,578.0,19.123179610136862,34,0,2.81,1.25,0.58,1.19,0.0,13818508,1349632.0,153.0,0.0,172032.0,3
85,98,715.0,19.40719809503568,11,1,2.81,1.25,0.58,1.19,0.0,13828788,1400656.0,161.0,0.0,180224.0,3
59,97,714.0,20.773734601114423,8,1,3.22,1.36,0.62,3.15,0.0,13788476,1624248.0,167.0,0.0,249856.0,3
43,99,678.0,21.6352190903526,1,0,3.22,1.36,0.62,3.15,0.0,13789004,1779820.0,161.0,0.0,528384.0,3
1,4,438.0,14.489657247111056,4,0,3.22,1.36,0.62,2.58,0.0,8687032,362376.0,69.0,0.0,28672.0,3
39,75,687.0,16.372296199400637,7,0,3.22,1.36,0.62,2.11,0.0,10974588,863608.0,95.0,0.0,118784.0,3
42,95,624.0,17.471701671333793,9,1,3.22,1.36,0.62,2.11,0.0,11215908,1040460.0,97.0,0.0,126976.0,3
32,77,563.0,17.78530437572059,2,0,4.01,1.55,0.68,2.11,0.0,11415744,1099688.0,100.0,0.0,126976.0,3
22,85,515.0,18.06692818518025,4,1,4.01,1.55,0.68,2.11,0.0,11525092,1155432.0,100.0,0.0,155648.0,3
